"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"I love when a western is done right. This one looks fantastic. #hostiles #film #Oscars https://t.co/qkLGFZdA6z",FALSE,1,NA,2017-10-04 01:04:49,FALSE,NA,"915382162194497537",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Aric_Hendrix",0,FALSE,FALSE,NA,NA
"#Role: Maxine Lund#Movie: Being John Malkovich (1999)#Actress: Catherine Keener#BeingJohnMalkovich #CatherineKeener #Oscars",FALSE,0,NA,2017-10-04 01:03:36,FALSE,NA,"915381856668762112",NA,"<a href=""http://twitter.com"" rel=""nofollow""><U+6620><U+753B><U+306E><U+30AD><U+30E3><U+30E9><U+30AF><U+30BF><U+30FC></a>","hlhnwhel3xcohjc",0,FALSE,FALSE,NA,NA
"RT @AwardsCircuit: CONFIRMATION! Claire Foy to campaign in SUPPORTING ACTRESS for her work in ""Breathe"" #oscars #clairefoy https://t.co/KKj…",FALSE,0,NA,2017-10-04 01:03:34,FALSE,NA,"915381850515918848",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","blablah91",12,TRUE,FALSE,NA,NA
"RT @louisvirtel: ""Suicide Squad"" has more Oscars than ""Carol,"" in case you needed a reason to take to the streets this evening. #Oscars",FALSE,0,NA,2017-10-04 00:54:11,FALSE,NA,"915379488585904129",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","HeyGirlSamantha",391,TRUE,FALSE,NA,NA
"RT @TheEllenShow: If only Bradley's arm was longer. Best photo ever. #oscars http://t.co/C9U5NOtGap",FALSE,0,NA,2017-10-04 00:38:36,FALSE,NA,"915375567238832128",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ElementalLogic",3431246,TRUE,FALSE,NA,NA
"#Role: Mari Hoff#Movie: Little Voice (1998)#Actress: Brenda Blethyn#LittleVoice #BrendaBlethyn #Oscars",FALSE,0,NA,2017-10-04 00:32:24,FALSE,NA,"915374005497954304",NA,"<a href=""http://twitter.com"" rel=""nofollow""><U+6620><U+753B><U+306E><U+30AD><U+30E3><U+30E9><U+30AF><U+30BF><U+30FC></a>","hlhnwhel3xcohjc",0,FALSE,FALSE,NA,NA
"#Oscars Which is worse never to have passion.",FALSE,0,NA,2017-10-04 00:26:07,FALSE,NA,"915372424228679681",NA,"<a href=""http://127.0.0.1"" rel=""nofollow"">polindex</a>","TrumpMarkovBot",0,FALSE,FALSE,NA,NA
"#Oscars #KateWinslet with #JamesCameron  For the second Time in #Avatar returns to pandora https://t.co/Xv4cUHOJ0T",FALSE,0,NA,2017-10-04 00:19:38,FALSE,NA,"915370792518602752",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","zoumrouda",0,FALSE,FALSE,NA,NA
"Tell the truth! Tell the truth! #Oscars",FALSE,0,NA,2017-10-04 00:18:32,FALSE,NA,"915370517359677440",NA,"<a href=""http://cheapbotsdonequick.com"" rel=""nofollow"">Cheap Bots, Done Quick!</a>","DoctorWillSmith",0,FALSE,FALSE,NA,NA
"For yrs its lead actress kept the #Oscars she rec'd for this #film in a cupboard, wrapped in a paper bag -… https://t.co/lzVG3I1tlP",FALSE,0,NA,2017-10-03 23:55:00,TRUE,NA,"915364593945387008",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","dvdinfatuation",0,FALSE,FALSE,NA,NA
